CODE_PARAMETRE;NOM_PARAMETRE;STATUT_PARAMETRE;NOM_PARAMETRE_COURT;NOM_PARAMETRE_LONG;CLASSE_1;CLASSE_2;CLASSE_3;CLASSE_4;USAGE_1;USAGE_2;USAGE_3;USAGE_4;REGLEMENT_1;REGLEMENT_2;REGLEMENT_3;REGLEMENT_4;PARAMETRE_ADES;CODE_UNITE_ADES;LIBELLE_UNITE_ADES
1777;Chlorure de triphenyletain;Validé;ClTPhT;Chlorure triphenyletain;Paramètres classés par classe;Chimique;Organométalliques;;Paramètres classés par usage;Phytosanitaires;"Fongicides; Molluscicides";;;;;;oui;133;microgramme par litre
1778;Code gelé en 2005 (Hydroxyde de triphénylétain);Gelé;Code gelé;Code gelé (Hydroxyde);;;;;;;;;;;;;oui;133;microgramme par litre
1779;Hydrure de triphenyletain;Gelé;TPhenSn;Triphenyletain;;;;;;;;;;;;;oui;133;microgramme par litre
1780;Xylène;Validé;XYLENE;Xylène;Paramètres classés par classe;Chimique;Micropolluants organiques;Benzène et dérivés;;;;;;;;;oui;133;microgramme par litre
1781;Matières extractibles à l'hexane (M.E.H.);Validé;MEH;Matières extr. à l'hexane;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;133;microgramme par litre
1793;Oxygène 18 des sulfates;Validé;18O (SO4);Oxygène 18 des sulfates;Paramètres classés par classe;Chimique;Radioactifs, isotopes et traceurs;;;;;;;;;;oui;32;delta pour 1000 Standard Mean Ocean Water
1795;Strontium 87/86;Gelé;87Sr/86Sr;Strontium 87/86;;;;;;;;;;;;;oui;0;Unité inconnue
1796;Métaldéhyde;Validé;Métaldéhyd;Métaldéhyde;Paramètres classés par classe;Chimique;Micropolluants organiques;Divers (autres organiques);Paramètres classés par usage;Phytosanitaires;Molluscicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole_Liste_A;oui;133;microgramme par litre
1797;Metsulfuron méthyle;Validé;MetsulfurM;Metsulfuron méthyle;Paramètres classés par classe;Chimique;Micropolluants organiques;Urées et métabolites;Paramètres classés par usage;Phytosanitaires;Herbicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole_Liste_A;oui;133;microgramme par litre
1798;Conductivité électrique de l'eau non ramenée à une température conventionnelle;Validé;Conduc;Conductivité électrique;Paramètres classés par classe;Physique;;;;;;;;;;;oui;147;microSiemens par centimètre
1799;Matière sèche (MS) - Assainissement;Validé;Mat. sèche;Matière sèche - Ass;Paramètres classés par classe;Chimique;Indices globaux (AOX, DCO,…);;;;;;;;;;oui;67;kilogramme
1800;Zirconium;Validé;Zr;Zirconium;Paramètres classés par classe;Chimique;Metaux et métalloïdes;;;;;;;;;;oui;133;microgramme par litre
1801;Cérium;Validé;Ce;Cérium;Paramètres classés par classe;Chimique;Metaux et métalloïdes;;;;;;;;;;oui;133;microgramme par litre
1802;Triforine;Validé;Triforine;Triforine;Paramètres classés par classe;Chimique;Micropolluants organiques;Divers (autres organiques);Paramètres classés par usage;Phytosanitaires;Fongicides;;;;;;oui;133;microgramme par litre
1803;Mercaptodiméthur sulfone;Validé;mercapsulf;Mercapto sulfone;Paramètres classés par classe;Chimique;Micropolluants organiques;Carbamates;Paramètres classés par usage;Phytosanitaires;Métabol;;;;;;oui;133;microgramme par litre
1804;Mercaptodiméthur sulfoxyde;Validé;mersulfoxy;Mercapto sulfoxyde;Paramètres classés par classe;Chimique;Micropolluants organiques;Carbamates;Paramètres classés par usage;Phytosanitaires;Métabol;;;;;;oui;133;microgramme par litre
1805;3-hydroxy-carbofuran;Validé;3OHCarbo;3hydroxycarbofuran;Paramètres classés par classe;Chimique;Micropolluants organiques;Carbamates;Paramètres classés par usage;Phytosanitaires;Métabol;;;;;;oui;133;microgramme par litre
1806;Aldicarbe sulfoxyde;Validé;Aldisulfox;Aldicarbe sulfoxyde;Paramètres classés par classe;Chimique;Micropolluants organiques;Carbamates;Paramètres classés par usage;Phytosanitaires;Métabol;;;;;;oui;133;microgramme par litre
1807;Aldicarbe sulfoné;Validé;Aldisulfo;Aldicarbe sulfone;Paramètres classés par classe;Chimique;Micropolluants organiques;Carbamates;Paramètres classés par usage;Phytosanitaires;"Insecticides; Nématicides";;;;;;oui;133;microgramme par litre
1808;Séthoxydime;Validé;Séthoxydim;Séthoxydime;Paramètres classés par classe;Chimique;Micropolluants organiques;Divers (autres organiques);Paramètres classés par usage;Phytosanitaires;Herbicides;;;;;;oui;133;microgramme par litre
1809;Esfenvalerate;Validé;Esfenvaler;Esfenvalerate;Paramètres classés par classe;Chimique;Micropolluants organiques;Pyréthrino;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1810;Clopyralide;Validé;Clopyralid;Clopyralide;Paramètres classés par classe;Chimique;Micropolluants organiques;Divers (autres organiques);Paramètres classés par usage;Phytosanitaires;Herbicides;;;;;;oui;133;microgramme par litre
1811;Tridémorphe;Validé;Tridemorph;Tridémorphe;Paramètres classés par classe;Chimique;Micropolluants organiques;Divers (autres organiques);Paramètres classés par usage;Phytosanitaires;Fongicides;;;;;;oui;133;microgramme par litre
1812;Alpha-cyperméthrine;Validé;Alpha-cype;Alpha-cyperméthrine;Paramètres classés par classe;Chimique;Micropolluants organiques;Organochlorés;Paramètres classés par usage;Phytosanitaires;Insecticides;;;;;;oui;133;microgramme par litre
1813;Chlorthiamide;Validé;Chlorthiam;Chlorthiamide;Paramètres classés par classe;Chimique;Micropolluants organiques;Amides (hors acéta);Paramètres classés par usage;Phytosanitaires;Herbicides;;;;;;oui;133;microgramme par litre
1814;Diflufenicanil;Validé;Diflufenic;Diflufenicanil;Paramètres classés par classe;Chimique;Micropolluants organiques;Amides (hors acéta);Paramètres classés par usage;Phytosanitaires;Herbicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM;Par_Analyse_Photograph_Etat_Chimique_Eaux_Sout_Métropole_et_DOM_Liste_A;oui;133;microgramme par litre
1815;Décabromodiphényl éther;Validé;BDE209;Décabromodiphényl éther;Paramètres classés par classe;Chimique;Micropolluants organiques;PBDE et PBB;;;;;;;;;oui;133;microgramme par litre
1816;Fosetyl;Validé;Fosetyl;Fosetyl;Paramètres classés par classe;Chimique;Micropolluants organiques;Organophosphorés;Paramètres classés par usage;Phytosanitaires;Fongicides;;Paramètres classés par textes réglementaires;Arrêté du 7 août 2015_surveillance de l'état des eaux;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole;Par_Analyse_Photographique_Etat_Chimique_Eaux_Sout_Métropole_Liste_B;oui;133;microgramme par litre
1817;Code gelé en 2000 (Glufosinate);Gelé;Code gelé;Code gelé (Glufosinate);;;;;;;;;;;;;oui;133;microgramme par litre
1819;Soufre;Validé;S;Soufre;Paramètres classés par classe;Chimique;Autres éléments minéraux;;;;;;;;;;oui;180;milligramme de soufre par litre
1820;Hydrure de tributylétain;Gelé;TributSn;Tributylétain;;;;;;;;;;;;;oui;133;microgramme par litre
1821;Sels de Fer;Validé;Sels de Fe;Sels de Fer;Paramètres classés par classe;Physique;;;;;;;;;;;oui;67;kilogramme
1822;Sels d'Aluminium;Validé;Sels Al;Sels d'Aluminium;Paramètres classés par classe;Physique;;;;;;;;;;;oui;67;kilogramme
1823;Chaux;Validé;Chaux;Chaux;Paramètres classés par classe;Physique;;;;;;;;;;;oui;67;kilogramme
1824;Polymères;Validé;Polymères;Polymères;Paramètres classés par classe;Physique;;;;;;;;;;;oui;67;kilogramme
1825;Fluazifop-butyl;Validé;FluazifopB;Fluazifop-butyl;Paramètres classés par classe;Chimique;Micropolluants organiques;Divers (autres organiques);Paramètres classés par usage;Phytosanitaires;Herbicides;;;;;;oui;133;microgramme par litre
1826;Code gelé en 2000 (3-Hydroxy-carbofuran);Gelé;Code gelé;Code gelé (3Hydrocarbofu);;;;;;;;;;;;;oui;133;microgramme par litre
